Name,Title,Company,Person location,Company HQ,Email,LinkedIn,Last paper title,Last paper year,Conference,Funding round,NAMs signal,Notes,Action
Karan Smith,"Scientist, Hepatic Toxicology",HepatoLife,"Seattle, WA","Zurich, Switzerland",karan.smith@hepatolife.com,https://www.linkedin.com/in/karansmith-hepatolife,3D cell culture applications in hepatotoxicity,2022,AACR 2025,IPO,Yes,PI-level,Share case study
Nina Smith,"Associate Director, DMPK",VivoMatrix,"Seattle, WA","Boston, MA",nina.smith@vivomatrix.com,https://www.linkedin.com/in/ninasmith-vivomatrix,In vitro organ-on-chip for DILI detection,2024,ISSX 2025,Seed,Yes,Influencer,LinkedIn connect
Priya Allen,Safety Pharmacology Lead,ToxInsight,"Cambridge, MA","Bay Area, CA",priya.allen@toxinsight.com,https://www.linkedin.com/in/priyaallen-toxinsight,Hepatic spheroids improve safety pharmacology readouts,2025,ISSX 2025,Unknown,No,Hands-on user,Share case study
Noah Johnson,VP Preclinical Safety,PharmaNest,"Basel, Switzerland","Bay Area, CA",noah.johnson@pharmanest.com,https://www.linkedin.com/in/noahjohnson-pharmanest,In vitro organ-on-chip for DILI detection,2022,ISSX 2025,IPO,Yes,Budget holder,Share case study
Nina King,"Research Scientist, 3D Cell Culture",OrganoSys,"London, UK","Seattle, WA",nina.king@organosys.com,https://www.linkedin.com/in/ninaking-organosys,NAMs in preclinical safety assessments,2024,AACR 2024,Series A,Yes,PI-level,Share case study
Nina Khan,Head of Toxicology,BioAxis,"London, UK","Bay Area, CA",nina.khan@bioaxis.com,https://www.linkedin.com/in/ninakhan-bioaxis,Organ-on-chip platforms for predictive toxicology,2024,AACR 2024,Series A,Yes,Hands-on user,LinkedIn connect
Noah Davis,VP Preclinical Safety,ToxInsight,"Zurich, Switzerland","Basel, Switzerland",noah.davis@toxinsight.com,https://www.linkedin.com/in/noahdavis-toxinsight,Hepatic spheroids improve safety pharmacology readouts,2025,ISSX 2024,Seed,Yes,Evaluating NAMs,Request 15-min meeting
Ava Taylor,"Research Scientist, 3D Cell Culture",LiverSafe,"Remote, Texas","Seattle, WA",ava.taylor@liversafe.com,https://www.linkedin.com/in/avataylor-liversafe,Organ-on-chip platforms for predictive toxicology,2022,AACR 2024,Unknown,Yes,Evaluating NAMs,LinkedIn connect
Chen Singh,"Scientist, Hepatic Toxicology",PharmaCore,"San Francisco, CA","Zurich, Switzerland",chen.singh@pharmacore.com,https://www.linkedin.com/in/chensingh-pharmacore,NAMs in preclinical safety assessments,2024,SOT 2024,Series A,Yes,Evaluating NAMs,Invite to demo
Nina Patel,"Lead Scientist, Organ-on-Chip",Preclinica,"Remote, Texas","Basel, Switzerland",nina.patel@preclinica.com,https://www.linkedin.com/in/ninapatel-preclinica,3D cell culture applications in hepatotoxicity,2025,AACR 2024,Seed,Yes,Hands-on user,LinkedIn connect
Ethan Lopez,"Associate Director, DMPK",NeoDrug Discovery,"New York, NY","Bay Area, CA",ethan.lopez@neodrugdiscovery.com,https://www.linkedin.com/in/ethanlopez-neodrugdiscovery,NAMs in preclinical safety assessments,2025,SOT 2024,Grant,No,Influencer,Email intro
Maya Johnson,VP Preclinical Safety,HepatoLife,"Bay Area, CA","Seattle, WA",maya.johnson@hepatolife.com,https://www.linkedin.com/in/mayajohnson-hepatolife,Screening hepatic toxicity using organoids,2023,ISSX 2025,Unknown,No,Evaluating NAMs,Request 15-min meeting
Emma Gupta,Head of Toxicology,ToxiGen,"Remote, Texas","Zurich, Switzerland",emma.gupta@toxigen.com,https://www.linkedin.com/in/emmagupta-toxigen,Organ-on-chip platforms for predictive toxicology,2024,SOT 2025,Seed,Yes,Evaluating NAMs,Share case study
Raj King,"Scientist, Hepatic Toxicology",InSilico Health,"Zurich, Switzerland","Zurich, Switzerland",raj.king@insilicohealth.com,https://www.linkedin.com/in/rajking-insilicohealth,Screening hepatic toxicity using organoids,2022,AACR 2024,IPO,Yes,Evaluating NAMs,Invite to demo
Raj Lewis,Safety Pharmacology Lead,OrganoSys,"San Francisco, CA","Zurich, Switzerland",raj.lewis@organosys.com,https://www.linkedin.com/in/rajlewis-organosys,Hepatic spheroids improve safety pharmacology readouts,2023,SOT 2024,IPO,No,Influencer,LinkedIn connect
Nina Wang,"Principal Scientist, Investigative Toxicology",OncoNova,"London, UK","Bay Area, CA",nina.wang@onconova.com,https://www.linkedin.com/in/ninawang-onconova,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2023,AACR 2025,Grant,Yes,PI-level,LinkedIn connect
Sophia Davis,"Scientist, Hepatic Toxicology",OncoNova,"San Francisco, CA","Cambridge, MA",sophia.davis@onconova.com,https://www.linkedin.com/in/sophiadavis-onconova,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2023,ISSX 2025,IPO,Yes,Influencer,Invite to demo
James Brown,Director of Safety Assessment,PharmaCore,"Basel, Switzerland","Cambridge, UK",james.brown@pharmacore.com,https://www.linkedin.com/in/jamesbrown-pharmacore,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2023,AACR 2025,Series B,Yes,Budget holder,Request 15-min meeting
Sophia Johnson,"Research Scientist, 3D Cell Culture",BioThera,"San Francisco, CA","Bay Area, CA",sophia.johnson@biothera.com,https://www.linkedin.com/in/sophiajohnson-biothera,Organ-on-chip platforms for predictive toxicology,2025,ISSX 2025,Grant,No,PI-level,Request 15-min meeting
Arjun King,VP Preclinical Safety,GenSafe Therapeutics,"Basel, Switzerland","London, UK",arjun.king@gensafetherapeutics.com,https://www.linkedin.com/in/arjunking-gensafetherapeutics,Organ-on-chip platforms for predictive toxicology,2025,SOT 2024,Series B,No,PI-level,Invite to demo
Arjun Young,"Principal Scientist, Investigative Toxicology",ToxInsight,"Oxford, UK","Cambridge, UK",arjun.young@toxinsight.com,https://www.linkedin.com/in/arjunyoung-toxinsight,Screening hepatic toxicity using organoids,2022,AACR 2025,Unknown,Yes,Hands-on user,LinkedIn connect
Alice Taylor,VP Preclinical Safety,OrganoSys,"San Diego, CA","Cambridge, MA",alice.taylor@organosys.com,https://www.linkedin.com/in/alicetaylor-organosys,Screening hepatic toxicity using organoids,2022,SOT 2024,Grant,Yes,Hands-on user,Email intro
Sophia Gupta,VP Preclinical Safety,HepatoLife,"Zurich, Switzerland","Cambridge, MA",sophia.gupta@hepatolife.com,https://www.linkedin.com/in/sophiagupta-hepatolife,In vitro organ-on-chip for DILI detection,2025,AACR 2025,Seed,No,PI-level,Invite to demo
Raj Hall,"Research Scientist, 3D Cell Culture",LiverSafe,"Cambridge, UK","Cambridge, MA",raj.hall@liversafe.com,https://www.linkedin.com/in/rajhall-liversafe,NAMs in preclinical safety assessments,2024,ISSX 2025,Grant,Yes,Budget holder,LinkedIn connect
Nina Taylor,"Lead Scientist, Organ-on-Chip",NeoDrug Discovery,"Manchester, UK","New York, NY",nina.taylor@neodrugdiscovery.com,https://www.linkedin.com/in/ninataylor-neodrugdiscovery,Hepatic spheroids improve safety pharmacology readouts,2025,AACR 2025,Series B,Yes,Budget holder,Share case study
Zara Lewis,"Lead Scientist, Organ-on-Chip",ToxInsight,"San Francisco, CA","Basel, Switzerland",zara.lewis@toxinsight.com,https://www.linkedin.com/in/zaralewis-toxinsight,In vitro organ-on-chip for DILI detection,2023,ISSX 2025,Unknown,No,Hands-on user,Email intro
Chen Gupta,Director of Safety Assessment,InSilico Health,"Zurich, Switzerland","Zurich, Switzerland",chen.gupta@insilicohealth.com,https://www.linkedin.com/in/chengupta-insilicohealth,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2023,AACR 2025,Series B,Yes,Evaluating NAMs,LinkedIn connect
Ethan Clark,Senior Toxicology Scientist,PharmaCore,"Seattle, WA","Bay Area, CA",ethan.clark@pharmacore.com,https://www.linkedin.com/in/ethanclark-pharmacore,3D cell culture applications in hepatotoxicity,2025,ACT 2024,IPO,No,Hands-on user,Share case study
Ethan Smith,Director of Safety Assessment,BioAxis,"Oxford, UK","Zurich, Switzerland",ethan.smith@bioaxis.com,https://www.linkedin.com/in/ethansmith-bioaxis,Hepatic spheroids improve safety pharmacology readouts,2022,ISSX 2025,Grant,No,Hands-on user,Invite to demo
Ethan Lopez,Head of Toxicology,VivoMatrix,"San Francisco, CA","Cambridge, UK",ethan.lopez@vivomatrix.com,https://www.linkedin.com/in/ethanlopez-vivomatrix,Hepatic spheroids improve safety pharmacology readouts,2023,ACT 2024,Unknown,No,Budget holder,Share case study
Liam Taylor,"Associate Director, DMPK",VivoMatrix,"Oxford, UK","Basel, Switzerland",liam.taylor@vivomatrix.com,https://www.linkedin.com/in/liamtaylor-vivomatrix,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2025,ACT 2024,Series A,No,PI-level,Request 15-min meeting
Liam Young,Senior Toxicology Scientist,PharmaCore,"Bay Area, CA","Zurich, Switzerland",liam.young@pharmacore.com,https://www.linkedin.com/in/liamyoung-pharmacore,NAMs in preclinical safety assessments,2024,AACR 2024,IPO,No,Hands-on user,Invite to demo
Lucas Taylor,"Scientist, Hepatic Toxicology",GenSafe Therapeutics,"Manchester, UK","Cambridge, MA",lucas.taylor@gensafetherapeutics.com,https://www.linkedin.com/in/lucastaylor-gensafetherapeutics,In vitro organ-on-chip for DILI detection,2022,AACR 2024,Series A,No,Budget holder,Request 15-min meeting
Priya Adams,Director of Safety Assessment,Novacure Biotech,"San Francisco, CA","London, UK",priya.adams@novacurebiotech.com,https://www.linkedin.com/in/priyaadams-novacurebiotech,Organ-on-chip platforms for predictive toxicology,2024,ISSX 2024,Grant,Yes,Influencer,Request 15-min meeting
Ishan Brown,Head of Toxicology,BioAxis,"San Diego, CA","Cambridge, UK",ishan.brown@bioaxis.com,https://www.linkedin.com/in/ishanbrown-bioaxis,NAMs in preclinical safety assessments,2025,ACT 2024,Series B,Yes,Evaluating NAMs,Share case study
Chen Martinez,"Lead Scientist, Organ-on-Chip",LiverSafe,"Oxford, UK","London, UK",chen.martinez@liversafe.com,https://www.linkedin.com/in/chenmartinez-liversafe,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2025,ISSX 2024,Unknown,No,Hands-on user,Request 15-min meeting
Ava Davis,"Scientist, Hepatic Toxicology",Novacure Biotech,"New York, NY","Oxford, UK",ava.davis@novacurebiotech.com,https://www.linkedin.com/in/avadavis-novacurebiotech,In vitro organ-on-chip for DILI detection,2022,SOT 2025,Grant,No,Budget holder,Request 15-min meeting
Zara Singh,"Research Scientist, 3D Cell Culture",PharmaCore,"Oxford, UK","Boston, MA",zara.singh@pharmacore.com,https://www.linkedin.com/in/zarasingh-pharmacore,Hepatic spheroids improve safety pharmacology readouts,2023,ISSX 2024,Series A,Yes,PI-level,Request 15-min meeting
Arjun Khan,VP Preclinical Safety,Novacure Biotech,"Zurich, Switzerland","Zurich, Switzerland",arjun.khan@novacurebiotech.com,https://www.linkedin.com/in/arjunkhan-novacurebiotech,Screening hepatic toxicity using organoids,2022,AACR 2025,Series A,Yes,PI-level,LinkedIn connect
Raj Brown,"Lead Scientist, Organ-on-Chip",Preclinica,"San Francisco, CA","Zurich, Switzerland",raj.brown@preclinica.com,https://www.linkedin.com/in/rajbrown-preclinica,In vitro organ-on-chip for DILI detection,2025,ISSX 2025,Series B,No,Evaluating NAMs,Share case study
Liam Young,"Lead Scientist, Organ-on-Chip",InVitroX,"Basel, Switzerland","Cambridge, MA",liam.young@invitrox.com,https://www.linkedin.com/in/liamyoung-invitrox,Drug-Induced Liver Injury risk in 3D hepatic spheroids,2023,ISSX 2024,Unknown,Yes,Evaluating NAMs,Share case study
Ethan Gupta,"Principal Scientist, Investigative Toxicology",GenSafe Therapeutics,"Basel, Switzerland","Seattle, WA",ethan.gupta@gensafetherapeutics.com,https://www.linkedin.com/in/ethangupta-gensafetherapeutics,Hepatic spheroids improve safety pharmacology readouts,2022,ACT 2024,Seed,No,PI-level,Request 15-min meeting
Alice Young,Safety Pharmacology Lead,HepatoLife,"Basel, Switzerland","London, UK",alice.young@hepatolife.com,https://www.linkedin.com/in/aliceyoung-hepatolife,Organ-on-chip platforms for predictive toxicology,2024,ACT 2024,Unknown,Yes,Evaluating NAMs,Invite to demo
